Date,Close
5/15/17,33.12
5/16/17,32.6
5/17/17,32.23
5/18/17,32.22
5/19/17,32.46
5/22/17,32.12
5/23/17,32.14
5/24/17,32.05
5/25/17,32.16
5/26/17,32.14
5/30/17,32.13
5/31/17,32.65
6/1/17,32.71
6/2/17,32.54
6/5/17,32.35
6/6/17,32.07
6/7/17,32
6/8/17,31.75
6/9/17,32.77
6/12/17,32.7
6/13/17,32.58
6/14/17,32.69
6/15/17,32.81
6/16/17,32.97
6/19/17,33.22
6/20/17,33.56
6/21/17,33.88
6/22/17,34.06
6/23/17,34.17
6/26/17,34.04
6/27/17,33.77
6/28/17,33.75
6/29/17,33.63
6/30/17,33.59
7/3/17,33.82
7/5/17,33.64
7/6/17,33.22
7/7/17,33.35
7/10/17,33.41
7/11/17,33.17
7/12/17,33.22
7/13/17,33.28
7/14/17,33.43
7/17/17,33.25
7/18/17,33.36
7/19/17,33.62
7/20/17,33.54
7/21/17,33.48
7/24/17,33.32
7/25/17,33.1
7/26/17,32.89
7/27/17,33
7/28/17,33.15
7/31/17,33.16
8/1/17,33.08
8/2/17,32.92
8/3/17,33.43
8/4/17,33.64
8/7/17,33.31
8/8/17,33.28
8/9/17,33.45
8/10/17,33.42
8/11/17,33.25
8/14/17,33.31
8/15/17,33.38
8/16/17,33.36
8/17/17,32.95
8/18/17,32.67
8/21/17,32.76
8/22/17,33.15
8/23/17,33.24
8/24/17,33.23
8/25/17,33.39
8/28/17,33.47
8/29/17,33.5
8/30/17,33.45
8/31/17,33.92
9/1/17,33.96
9/5/17,33.8
9/6/17,33.99
9/7/17,33.99
9/8/17,34.1
9/11/17,34.32
9/12/17,35.37
9/13/17,35.06
9/14/17,35.73
9/15/17,35.36
9/18/17,35.55
9/19/17,35.45
9/20/17,35.99
9/21/17,35.97
9/22/17,35.96
9/25/17,35.51
9/26/17,35.3
9/27/17,35.45
9/28/17,35.6
9/29/17,35.7
10/2/17,36.07
10/3/17,36.14
10/4/17,35.96
10/5/17,36
10/6/17,36.05
10/9/17,36.14
10/10/17,36.4
10/11/17,36.45
10/12/17,36.35
10/13/17,36.34
10/16/17,35.98
10/17/17,36.2
10/18/17,35.83
10/19/17,36.24
10/20/17,36.42
10/23/17,36.4
10/24/17,36.27
10/25/17,36.16
10/26/17,35.74
10/27/17,35.6
10/30/17,35.15
10/31/17,35.06
11/1/17,35.26
11/2/17,35.46
11/3/17,35.55
11/6/17,35.32
11/7/17,35.36
11/8/17,35.34
11/9/17,35.2
11/10/17,35.18
11/13/17,35.3
11/14/17,35.38
11/15/17,35.36
11/16/17,35.56
11/17/17,35.37
11/20/17,35.35
11/21/17,35.54
11/22/17,35.43
11/24/17,35.49
11/27/17,35.49
11/28/17,35.85
11/29/17,36.21
11/30/17,36.26
12/1/17,36.35
12/4/17,36.06
12/5/17,35.63
12/6/17,35.56
12/7/17,35.5
12/8/17,35.74
12/11/17,36.21
12/12/17,36.58
12/13/17,36.64
12/14/17,36.46
12/15/17,37.2
12/18/17,37.13
12/19/17,36.94
12/20/17,36.46
12/21/17,36.24
12/22/17,36.14
12/26/17,36.21
12/27/17,36.33
12/28/17,36.37
12/29/17,36.22
1/2/18,36.44
1/3/18,36.71
1/4/18,36.79
1/5/18,36.86
1/8/18,36.45
1/9/18,36.41
1/10/18,36.47
1/11/18,36.56
1/12/18,36.54
1/16/18,36.6
1/17/18,37.18
1/18/18,36.99
1/19/18,36.94
1/22/18,36.93
1/23/18,36.82
1/24/18,36.93
1/25/18,37.23
1/26/18,39.01
1/29/18,39.02
1/30/18,37.8
1/31/18,37.04
2/1/18,36.83
2/2/18,36.61
2/5/18,34.67
2/6/18,35.28
2/7/18,34.98
2/8/18,33.63
2/9/18,34.16
2/12/18,34.66
2/13/18,34.94
2/14/18,35.19
2/15/18,35.71
2/16/18,36.26
2/20/18,36.01
2/21/18,35.76
2/22/18,35.74
2/23/18,36.26
2/26/18,37.09
2/27/18,36.8
2/28/18,36.31
3/1/18,35.63
3/2/18,35.95
3/5/18,36.12
3/6/18,35.88
3/7/18,35.93
3/8/18,36.5
3/9/18,36.77
3/12/18,36.61
3/13/18,36.75
3/14/18,36.35
3/15/18,36.58
3/16/18,36.78
3/19/18,36.33
3/20/18,36.33
3/21/18,36.27
3/22/18,35.6
3/23/18,34.49
3/26/18,35.04
3/27/18,35.01
3/28/18,35.3
3/29/18,35.49
4/2/18,35.05
4/3/18,35.68
4/4/18,36.13
4/5/18,35.73
4/6/18,35.17
4/9/18,35.46
4/10/18,35.95
4/11/18,35.79
4/12/18,36.32
4/13/18,36.32
4/16/18,36.53
4/17/18,36.33
4/18/18,36.49
4/19/18,36.53
4/20/18,36.63
4/23/18,36.8
4/24/18,37.06
4/25/18,36.68
4/26/18,36.85
4/27/18,37
4/30/18,36.61
5/1/18,35.4
5/2/18,34.89
5/3/18,34.76
5/4/18,34.84
5/7/18,34.93
5/8/18,34.98
5/9/18,35.17
5/10/18,35.04
5/11/18,35.5
5/14/18,35.86
5/15/18,35.69
5/16/18,35.68
5/17/18,35.71
5/18/18,35.64
